Wavelength,Excitation,Emission,,Wavelength,Excitation,,Wavelength,Emission
300,0,0,,300,0,,300,0
301,0,0,,301,0,,301,0
302,0,0,,302,0,,302,0
303,0,0,,303,0,,303,0
304,0,0,,304,0,,304,0
305,0,0,,305,0,,305,0
306,0,0,,306,0,,306,0
307,0,0,,307,0,,307,0
308,0,0,,308,0,,308,0
309,0,0,,309,0,,309,0
310,0,0,,310,0,,310,0
311,0,0,,311,0,,311,0
312,0,0,,312,0,,312,0
313,0,0,,313,0,,313,0
314,0,0,,314,0,,314,0
315,0,0,,315,0,,315,0
316,0,0,,316,0,,316,0
317,0,0,,317,0,,317,0
318,0,0,,318,0,,318,0
319,0,0,,319,0,,319,0
320,0,0,,320,0,,320,0
321,0,0,,321,0,,321,0
322,0,0,,322,0,,322,0
323,0,0,,323,0,,323,0
324,0,0,,324,0,,324,0
325,0,0,,325,0,,325,0
326,0,0,,326,0,,326,0
327,0,0,,327,0,,327,0
328,0,0,,328,0,,328,0
329,0,0,,329,0,,329,0
330,0,0,,330,0,,330,0
331,0,0,,331,0,,331,0
332,0,0,,332,0,,332,0
333,0,0,,333,0,,333,0
334,0,0,,334,0,,334,0
335,0,0,,335,0,,335,0
336,0,0,,336,0,,336,0
337,0,0,,337,0,,337,0
338,0,0,,338,0,,338,0
339,0,0,,339,0,,339,0
340,0,0,,340,0,,340,0
341,0,0,,341,0,,341,0
342,0,0,,342,0,,342,0
343,0,0,,343,0,,343,0
344,0,0,,344,0,,344,0
345,0,0,,345,0,,345,0
346,0,0,,346,0,,346,0
347,0,0,,347,0,,347,0
348,0,0,,348,0,,348,0
349,0,0,,349,0,,349,0
350,0,0,,350,0,,350,0
351,0,0,,351,0,,351,0
352,0,0,,352,0,,352,0
353,0,0,,353,0,,353,0
354,0,0,,354,0,,354,0
355,0,0,,355,0,,355,0
356,0,0,,356,0,,356,0
357,0,0,,357,0,,357,0
358,0,0,,358,0,,358,0
359,0,0,,359,0,,359,0
360,0,0,,360,0,,360,0
361,0,0,,361,0,,361,0
362,0,0,,362,0,,362,0
363,0,0,,363,0,,363,0
364,0,0,,364,0,,364,0
365,0,0,,365,0,,365,0
366,0,0,,366,0,,366,0
367,0,0,,367,0,,367,0
368,0,0,,368,0,,368,0
369,0,0,,369,0,,369,0
370,0,0,,370,0,,370,0
371,0,0,,371,0,,371,0
372,0,0,,372,0,,372,0
373,0,0,,373,0,,373,0
374,0,0,,374,0,,374,0
375,0,0,,375,0,,375,0
376,0,0,,376,0,,376,0
377,0,0,,377,0,,377,0
378,0,0,,378,0,,378,0
379,0,0,,379,0,,379,0
380,0,0,,380,0,,380,0
381,0,0,,381,0,,381,0
382,0,0,,382,0,,382,0
383,0,0,,383,0,,383,0
384,0,0,,384,0,,384,0
385,0,0,,385,0,,385,0
386,0,0,,386,0,,386,0
387,0,0,,387,0,,387,0
388,0,0,,388,0,,388,0
389,0,0,,389,0,,389,0
390,0,0,,390,0,,390,0
391,0,0,,391,0,,391,0
392,0,0,,392,0,,392,0
393,0,0,,393,0,,393,0
394,0,0,,394,0,,394,0
395,0,0,,395,0,,395,0
396,0,0,,396,0,,396,0
397,0,0,,397,0,,397,0
398,0,0,,398,0,,398,0
399,0,0,,399,0,,399,0
400,0,0,,400,0,,400,0
401,0,0,,401,0,,401,0
402,0,0,,402,0,,402,0
403,0,0,,403,0,,403,0
404,0,0,,404,0,,404,0
405,0,0,,405,0,,405,0
406,0,0,,406,0,,406,0
407,0,0,,407,0,,407,0
408,0,0,,408,0,,408,0
409,0,0,,409,0,,409,0
410,0,0,,410,0,,410,0
411,0,0,,411,0,,411,0
412,0,0,,412,0,,412,0
413,1.260630315,0,,413,1.260630315,,413,0
414,1.260630315,0,,414,1.260630315,,414,0
415,1.260630315,0,,415,1.260630315,,415,0
416,1.260630315,0,,416,1.260630315,,416,0
417,1.260630315,0,,417,1.260630315,,417,0
418,1.330665333,0,,418,1.330665333,,418,0
419,1.32066033,0,,419,1.32066033,,419,0
420,1.420710355,0,,420,1.420710355,,420,0
421,1.450725363,0,,421,1.450725363,,421,0
422,1.500750375,0,,422,1.500750375,,422,0
423,1.580790395,0,,423,1.580790395,,423,0
424,1.710855428,0,,424,1.710855428,,424,0
425,1.780890445,0,,425,1.780890445,,425,0
426,2.021010505,0,,426,2.021010505,,426,0
427,2.021010505,0,,427,2.021010505,,427,0
428,2.141070535,0,,428,2.141070535,,428,0
429,2.341170585,0,,429,2.341170585,,429,0
430,2.4012006,0,,430,2.4012006,,430,0
431,2.531265633,0,,431,2.531265633,,431,0
432,2.611305653,0,,432,2.611305653,,432,0
433,2.971485743,0,,433,2.971485743,,433,0
434,3.04152076,0,,434,3.04152076,,434,0
435,3.211605803,0,,435,3.211605803,,435,0
436,3.44172086,0,,436,3.44172086,,436,0
437,3.6018009,0,,437,3.6018009,,437,0
438,3.781890945,0,,438,3.781890945,,438,0
439,4.282141071,0,,439,4.282141071,,439,0
440,4.232116058,0,,440,4.232116058,,440,0
441,4.452226113,0,,441,4.452226113,,441,0
442,4.742371186,0,,442,4.742371186,,442,0
443,4.922461231,0,,443,4.922461231,,443,0
444,5.182591296,0,,444,5.182591296,,444,0
445,5.452726363,0,,445,5.452726363,,445,0
446,5.932966483,0,,446,5.932966483,,446,0
447,6.073036518,0,,447,6.073036518,,447,0
448,6.443221611,0,,448,6.443221611,,448,0
449,6.723361681,0,,449,6.723361681,,449,0
450,7.073536768,0,,450,7.073536768,,450,0
451,7.373686843,0,,451,7.373686843,,451,0
452,7.593796898,0,,452,7.593796898,,452,0
453,8.464232116,0,,453,8.464232116,,453,0
454,8.754377189,0,,454,8.754377189,,454,0
455,9.174587294,0,,455,9.174587294,,455,0
456,9.714857429,0,,456,9.714857429,,456,0
457,10.13506753,0,,457,10.13506753,,457,0
458,10.60530265,0,,458,10.60530265,,458,0
459,11.53576788,0,,459,11.53576788,,459,0
460,11.89594797,0,,460,11.89594797,,460,0
461,12.49624812,0,,461,12.49624812,,461,0
462,13.10655328,0,,462,13.10655328,,462,0
463,13.49674837,0,,463,13.49674837,,463,0
464,14.52726363,0,,464,14.52726363,,464,0
465,15.01750875,0,,465,15.01750875,,465,0
466,15.38769385,0,,466,15.38769385,,466,0
467,16.26813407,0,,467,16.26813407,,467,0
468,16.45822911,0,,468,16.45822911,,468,0
469,17.11855928,0,,469,17.11855928,,469,0
470,17.57878939,0,,470,17.57878939,,470,0
471,18.23911956,0,,471,18.23911956,,471,0
472,19.1895948,0,,472,19.1895948,,472,0
473,19.66983492,0,,473,19.66983492,,473,0
474,21.12056028,0,,474,21.12056028,,474,0
475,22.11105553,0,,475,22.11105553,,475,0
476,22.52126063,0,,476,22.52126063,,476,0
477,23.24162081,0,,477,23.24162081,,477,0
478,24.26213107,0,,478,24.26213107,,478,0
479,24.59229615,0,,479,24.59229615,,479,0
480,25.28264132,0,,480,25.28264132,,480,0
481,25.75287644,0,,481,25.75287644,,481,0
482,26.12306153,0,,482,26.12306153,,482,0
483,27.55377689,0,,483,27.55377689,,483,0
484,28.20410205,0,,484,28.20410205,,484,0
485,29.02451226,0,,485,29.02451226,,485,0
486,29.46473237,0,,486,29.46473237,,486,0
487,31.47573787,0,,487,31.47573787,,487,0
488,32.29614807,0,,488,32.29614807,,488,0
489,32.51625813,0,,489,32.51625813,,489,0
490,35.04752376,0,,490,35.04752376,,490,0
491,35.75787894,0,,491,35.75787894,,491,0
492,37.92896448,0,,492,37.92896448,,492,0
493,38.74937469,0,,493,38.74937469,,493,0
494,41.10055028,0,,494,41.10055028,,494,0
495,41.95097549,0,,495,41.95097549,,495,0
496,44.4022011,0,,496,44.4022011,,496,0
497,45.31265633,0,,497,45.31265633,,497,0
498,47.75387694,0,,498,47.75387694,,498,0
499,48.53426713,0,,499,48.53426713,,499,0
500,51.07553777,0,,500,51.07553777,,500,0
501,51.67583792,0,,501,51.67583792,,501,0
502,54.4072036,0,,502,54.4072036,,502,0
503,54.86743372,0,,503,54.86743372,,503,0
504,57.14857429,0,,504,57.14857429,,504,0
505,57.79889945,0,,505,57.79889945,,505,0
506,58.16908454,0,,506,58.16908454,,506,0
507,59.45972986,0,,507,59.45972986,,507,0
508,59.80990495,0,,508,59.80990495,,508,0
509,59.96998499,0,,509,59.96998499,,509,0
510,60.07003502,0,,510,60.07003502,,510,0
511,60.13006503,0,,511,60.13006503,,511,0
512,60.06003002,0,,512,60.06003002,,512,0
513,60.010005,0,,513,60.010005,,513,0
514,60.010005,0,,514,60.010005,,514,0
515,60.02001001,0,,515,60.02001001,,515,0
516,60.31015508,0,,516,60.31015508,,516,0
517,60.57028514,0,,517,60.57028514,,517,0
518,60.96048024,0,,518,60.96048024,,518,0
519,61.38069035,0,,519,61.38069035,,519,0
520,62.7913957,0,,520,62.7913957,,520,0
521,63.6018009,0,,521,63.6018009,,521,0
522,65.09254627,0,,522,65.09254627,,522,0
523,66.35317659,0,,523,66.35317659,,523,0
524,67.05352676,0,,524,67.05352676,,524,0
525,69.46473237,0,,525,69.46473237,,525,0
526,70.25512756,0,,526,70.25512756,,526,0
527,73.10655328,0,,527,73.10655328,,527,0
528,75.81790895,0,,528,75.81790895,,528,0
529,79.01950975,0,,529,79.01950975,,529,0
530,79.82991496,8.458061276,,530,79.82991496,,530,8.458061276
531,82.47123562,9.834254144,,531,82.47123562,,531,9.834254144
532,85.34267134,12.33550979,,532,85.34267134,,532,12.33550979
533,87.90395198,13.38021095,,533,87.90395198,,533,13.38021095
534,89.30465233,16.28327474,,534,89.30465233,,534,16.28327474
535,92.3961981,19.47764942,,535,92.3961981,,535,19.47764942
536,95.2076038,23.03365143,,536,95.2076038,,536,23.03365143
537,97.89894947,28.09643395,,537,97.89894947,,537,28.09643395
538,98.56928464,32.57659468,,538,98.56928464,,538,32.57659468
539,98.97948974,38.40281266,,539,98.97948974,,539,38.40281266
540,100,44.59065796,,540,100,,540,44.59065796
541,99.28964482,48.20693119,,541,99.28964482,,541,48.20693119
542,98.62931466,51.91361125,,542,98.62931466,,542,51.91361125
543,98.06903452,57.83023606,,543,98.06903452,,543,57.83023606
544,95.82791396,64.86187845,,544,95.82791396,,544,64.86187845
545,92.3961981,70.97940733,,545,92.3961981,,545,70.97940733
546,90.28514257,77.0467102,,546,90.28514257,,546,77.0467102
547,85.66283142,83.20441989,,547,85.66283142,,547,83.20441989
548,79.89994997,86.7503767,,548,79.89994997,,548,86.7503767
549,76.09804902,90.16574586,,549,76.09804902,,549,90.16574586
550,68.31415708,93.66147664,,550,68.31415708,,550,93.66147664
551,63.68184092,96.93621296,,551,63.68184092,,551,96.93621296
552,57.15857929,99.46760422,,552,57.15857929,,552,99.46760422
553,51.36568284,100,,553,51.36568284,,553,100
554,45.97298649,99.87945756,,554,45.97298649,,554,99.87945756
555,40.87043522,99.23656454,,555,40.87043522,,555,99.23656454
556,35.00750375,98.25213461,,556,35.00750375,,556,98.25213461
557,31.27563782,97.67955801,,557,31.27563782,,557,97.67955801
558,25.53276638,92.87795078,,558,25.53276638,,558,92.87795078
559,22.33116558,92.23505776,,559,22.33116558,,559,92.23505776
560,18.93946973,89.56303365,,560,18.93946973,,560,89.56303365
561,16.06803402,88.19688599,,561,16.06803402,,561,88.19688599
562,12.92646323,85.08287293,,562,12.92646323,,562,85.08287293
563,12.05602801,82.10949272,,563,12.05602801,,563,82.10949272
564,9.224612306,78.99547966,,564,9.224612306,,564,78.99547966
565,8.644322161,76.11250628,,565,8.644322161,,565,76.11250628
566,6.183091546,74.31441487,,566,6.183091546,,566,74.31441487
567,5.572786393,70.74836765,,567,5.572786393,,567,70.74836765
568,4.152076038,67.92566549,,568,4.152076038,,568,67.92566549
569,3.661830915,66.04721246,,569,3.661830915,,569,66.04721246
570,3.12156078,63.55600201,,570,3.12156078,,570,63.55600201
571,2.64132066,60.52235058,,571,2.64132066,,571,60.52235058
572,2.431215608,60.43194375,,572,2.431215608,,572,60.43194375
573,1.670835418,57.62933199,,573,1.670835418,,573,57.62933199
574,1.630815408,56.7553993,,574,1.630815408,,574,56.7553993
575,1.36068034,54.7061778,,575,1.36068034,,575,54.7061778
576,1.180590295,53.77197388,,576,1.180590295,,576,53.77197388
577,0.990495248,53.28980412,,577,0.990495248,,577,53.28980412
578,0.860430215,52.10447012,,578,0.860430215,,578,52.10447012
579,0.870435218,51.00954294,,579,0.870435218,,579,51.00954294
580,0.670335168,50.41687594,,580,0.670335168,,580,50.41687594
581,0.740370185,49.91461577,,581,0.740370185,,581,49.91461577
582,0.610305153,49.18131592,,582,0.610305153,,582,49.18131592
583,0.610305153,48.75941738,,583,0.610305153,,583,48.75941738
584,0.68034017,48.36765445,,584,0.68034017,,584,48.36765445
585,0.540270135,48.17679558,,585,0.540270135,,585,48.17679558
586,0,47.71471622,,586,0,,586,47.71471622
587,0,47.59417378,,587,0,,587,47.59417378
588,0,47.21245605,,588,0,,588,47.21245605
589,0,47.08186841,,589,0,,589,47.08186841
590,0,46.51933702,,590,0,,590,46.51933702
591,0,45.63535912,,591,0,,591,45.63535912
592,0,46.1878453,,592,0,,592,46.1878453
593,0,45.47463586,,593,0,,593,45.47463586
594,0,44.97237569,,594,0,,594,44.97237569
595,0,44.3997991,,595,0,,595,44.3997991
596,0,43.70668006,,596,0,,596,43.70668006
597,0,43.18432948,,597,0,,597,43.18432948
598,0,41.94876946,,598,0,,598,41.94876946
599,0,41.34605726,,599,0,,599,41.34605726
600,0,40.42189854,,600,0,,600,40.42189854
601,0,39.85936715,,601,0,,601,39.85936715
602,0,38.38272225,,602,0,,602,38.38272225
603,0,38.17177298,,603,0,,603,38.17177298
604,0,36.82571572,,604,0,,604,36.82571572
605,0,35.48970367,,605,0,,605,35.48970367
606,0,34.36464088,,606,0,,606,34.36464088
607,0,33.65143144,,607,0,,607,33.65143144
608,0,32.08437971,,608,0,,608,32.08437971
609,0,31.23053742,,609,0,,609,31.23053742
610,0,30.42692115,,610,0,,610,30.42692115
611,0,29.05072828,,611,0,,611,29.05072828
612,0,28.28729282,,612,0,,612,28.28729282
613,0,27.33299849,,613,0,,613,27.33299849
614,0,25.90657961,,614,0,,614,25.90657961
615,0,25.17327976,,615,0,,615,25.17327976
616,0,24.32948267,,616,0,,616,24.32948267
617,0,23.98794576,,617,0,,617,23.98794576
618,0,22.54143646,,618,0,,618,22.54143646
619,0,21.78804621,,619,0,,619,21.78804621
620,0,21.07483677,,620,0,,620,21.07483677
621,0,20.90406831,,621,0,,621,20.90406831
622,0,19.42742341,,622,0,,622,19.42742341
623,0,18.94525364,,623,0,,623,18.94525364
624,0,18.31240583,,624,0,,624,18.31240583
625,0,17.74987443,,625,0,,625,17.74987443
626,0,17.54897037,,626,0,,626,17.54897037
627,0,16.41386238,,627,0,,627,16.41386238
628,0,16.01205424,,628,0,,628,16.01205424
629,0,15.52988448,,629,0,,629,15.52988448
630,0,14.92717228,,630,0,,630,14.92717228
631,0,14.81667504,,631,0,,631,14.81667504
632,0,14.17378202,,632,0,,632,14.17378202
633,0,13.90256153,,633,0,,633,13.90256153
634,0,13.5409342,,634,0,,634,13.5409342
635,0,13.12908086,,635,0,,635,13.12908086
636,0,12.79758915,,636,0,,636,12.79758915
637,0,12.29532898,,637,0,,637,12.29532898
638,0,12.10447012,,638,0,,638,12.10447012
639,0,11.81315922,,639,0,,639,11.81315922
640,0,11.59216474,,640,0,,640,11.59216474
641,0,11.27071823,,641,0,,641,11.27071823
642,0,10.77850326,,642,0,,642,10.77850326
643,0,10.68809643,,643,0,,643,10.68809643
644,0,10.56755399,,644,0,,644,10.56755399
645,0,10.31642391,,645,0,,645,10.31642391
646,0,9.85434455,,646,0,,646,9.85434455
647,0,9.653440482,,647,0,,647,9.653440482
648,0,9.4123556,,648,0,,648,9.4123556
649,0,9.131089905,,649,0,,649,9.131089905
650,0,8.900050226,,650,0,,650,8.900050226
651,0,8.648920141,,651,0,,651,8.648920141
652,0,8.387744852,,652,0,,652,8.387744852
653,0,8.267202411,,653,0,,653,8.267202411
654,0,7.895529884,,654,0,,654,7.895529884
655,0,7.815168257,,655,0,,655,7.815168257
656,0,7.433450527,,656,0,,656,7.433450527
657,0,7.112004018,,657,0,,657,7.112004018
658,0,6.870919136,,658,0,,658,6.870919136
659,0,6.659969864,,659,0,,659,6.659969864
660,0,6.469110999,,660,0,,660,6.469110999
661,0,6.288297338,,661,0,,661,6.288297338
662,0,5.966850829,,662,0,,662,5.966850829
663,0,6.017076846,,663,0,,663,6.017076846
664,0,5.715720743,,664,0,,664,5.715720743
665,0,5.444500251,,665,0,,665,5.444500251
666,0,5.193370166,,666,0,,666,5.193370166
667,0,5.072827725,,667,0,,667,5.072827725
668,0,5.062782521,,668,0,,668,5.062782521
669,0,4.691109995,,669,0,,669,4.691109995
670,0,4.610748368,,670,0,,670,4.610748368
671,0,4.429934706,,671,0,,671,4.429934706
672,0,4.229030638,,672,0,,672,4.229030638
673,0,4.02812657,,673,0,,673,4.02812657
674,0,3.787041688,,674,0,,674,3.787041688
675,0,3.776996484,,675,0,,675,3.776996484
676,0,3.64640884,,676,0,,676,3.64640884
677,0,3.455549975,,677,0,,677,3.455549975
678,0,3.465595178,,678,0,,678,3.465595178
679,0,3.475640382,,679,0,,679,3.475640382
680,0,3.144148669,,680,0,,680,3.144148669
681,0,3.083877449,,681,0,,681,3.083877449
682,0,2.88297338,,682,0,,682,2.88297338
683,0,2.82270216,,683,0,,683,2.82270216
684,0,2.752385736,,684,0,,684,2.752385736
685,0,2.50125565,,685,0,,685,2.50125565
686,0,2.430939227,,686,0,,686,2.430939227
687,0,2.380713209,,687,0,,687,2.380713209
688,0,2.300351582,,688,0,,688,2.300351582
689,0,2.179809141,,689,0,,689,2.179809141
690,0,2.230035158,,690,0,,690,2.230035158
691,0,1.988950276,,691,0,,691,1.988950276
692,0,1.918633852,,692,0,,692,1.918633852
693,0,1.798091411,,693,0,,693,1.798091411
694,0,1.798091411,,694,0,,694,1.798091411
695,0,1.727774987,,695,0,,695,1.727774987
696,0,1.67754897,,696,0,,696,1.67754897
697,0,1.67754897,,697,0,,697,1.67754897
698,0,1.536916123,,698,0,,698,1.536916123
699,0,1.466599699,,699,0,,699,1.466599699
700,0,0,,700,0,,700,0
701,0,0,,701,0,,701,0
702,0,0,,702,0,,702,0
703,0,0,,703,0,,703,0
704,0,0,,704,0,,704,0
705,0,0,,705,0,,705,0
706,0,0,,706,0,,706,0
707,0,0,,707,0,,707,0
708,0,0,,708,0,,708,0
709,0,0,,709,0,,709,0
710,0,0,,710,0,,710,0
711,0,0,,711,0,,711,0
712,0,0,,712,0,,712,0
713,0,0,,713,0,,713,0
714,0,0,,714,0,,714,0
715,0,0,,715,0,,715,0
716,0,0,,716,0,,716,0
717,0,0,,717,0,,717,0
718,0,0,,718,0,,718,0
719,0,0,,719,0,,719,0
720,0,0,,720,0,,720,0
721,0,0,,721,0,,721,0
722,0,0,,722,0,,722,0
723,0,0,,723,0,,723,0
724,0,0,,724,0,,724,0
725,0,0,,725,0,,725,0
726,0,0,,726,0,,726,0
727,0,0,,727,0,,727,0
728,0,0,,728,0,,728,0
729,0,0,,729,0,,729,0
730,0,0,,730,0,,730,0
731,0,0,,731,0,,731,0
732,0,0,,732,0,,732,0
733,0,0,,733,0,,733,0
734,0,0,,734,0,,734,0
735,0,0,,735,0,,735,0
736,0,0,,736,0,,736,0
737,0,0,,737,0,,737,0
738,0,0,,738,0,,738,0
739,0,0,,739,0,,739,0
740,0,0,,740,0,,740,0
741,0,0,,741,0,,741,0
742,0,0,,742,0,,742,0
743,0,0,,743,0,,743,0
744,0,0,,744,0,,744,0
745,0,0,,745,0,,745,0
746,0,0,,746,0,,746,0
747,0,0,,747,0,,747,0
748,0,0,,748,0,,748,0
749,0,0,,749,0,,749,0
750,0,0,,750,0,,750,0
751,0,0,,751,0,,751,0
752,0,0,,752,0,,752,0
753,0,0,,753,0,,753,0
754,0,0,,754,0,,754,0
755,0,0,,755,0,,755,0
756,0,0,,756,0,,756,0
757,0,0,,757,0,,757,0
758,0,0,,758,0,,758,0
759,0,0,,759,0,,759,0
760,0,0,,760,0,,760,0
761,0,0,,761,0,,761,0
762,0,0,,762,0,,762,0
763,0,0,,763,0,,763,0
764,0,0,,764,0,,764,0
765,0,0,,765,0,,765,0
766,0,0,,766,0,,766,0
767,0,0,,767,0,,767,0
768,0,0,,768,0,,768,0
769,0,0,,769,0,,769,0
770,0,0,,770,0,,770,0
771,0,0,,771,0,,771,0
772,0,0,,772,0,,772,0
773,0,0,,773,0,,773,0
774,0,0,,774,0,,774,0
775,0,0,,775,0,,775,0
776,0,0,,776,0,,776,0
777,0,0,,777,0,,777,0
778,0,0,,778,0,,778,0
779,0,0,,779,0,,779,0
780,0,0,,780,0,,780,0
781,0,0,,781,0,,781,0
782,0,0,,782,0,,782,0
783,0,0,,783,0,,783,0
784,0,0,,784,0,,784,0
785,0,0,,785,0,,785,0
786,0,0,,786,0,,786,0
787,0,0,,787,0,,787,0
788,0,0,,788,0,,788,0
789,0,0,,789,0,,789,0
790,0,0,,790,0,,790,0
791,0,0,,791,0,,791,0
792,0,0,,792,0,,792,0
793,0,0,,793,0,,793,0
794,0,0,,794,0,,794,0
795,0,0,,795,0,,795,0
796,0,0,,796,0,,796,0
797,0,0,,797,0,,797,0
798,0,0,,798,0,,798,0
799,0,0,,799,0,,799,0
800,0,0,,800,0,,800,0
801,0,0,,801,0,,801,0
802,0,0,,802,0,,802,0
803,0,0,,803,0,,803,0
804,0,0,,804,0,,804,0
805,0,0,,805,0,,805,0
806,0,0,,806,0,,806,0
807,0,0,,807,0,,807,0
808,0,0,,808,0,,808,0
809,0,0,,809,0,,809,0
810,0,0,,810,0,,810,0
811,0,0,,811,0,,811,0
812,0,0,,812,0,,812,0
813,0,0,,813,0,,813,0
814,0,0,,814,0,,814,0
815,0,0,,815,0,,815,0
816,0,0,,816,0,,816,0
817,0,0,,817,0,,817,0
818,0,0,,818,0,,818,0
819,0,0,,819,0,,819,0
820,0,0,,820,0,,820,0
821,0,0,,821,0,,821,0
822,0,0,,822,0,,822,0
823,0,0,,823,0,,823,0
824,0,0,,824,0,,824,0
825,0,0,,825,0,,825,0
826,0,0,,826,0,,826,0
827,0,0,,827,0,,827,0
828,0,0,,828,0,,828,0
829,0,0,,829,0,,829,0
830,0,0,,830,0,,830,0
831,0,0,,831,0,,831,0
832,0,0,,832,0,,832,0
833,0,0,,833,0,,833,0
834,0,0,,834,0,,834,0
835,0,0,,835,0,,835,0
836,0,0,,836,0,,836,0
837,0,0,,837,0,,837,0
838,0,0,,838,0,,838,0
839,0,0,,839,0,,839,0
840,0,0,,840,0,,840,0
841,0,0,,841,0,,841,0
842,0,0,,842,0,,842,0
843,0,0,,843,0,,843,0
844,0,0,,844,0,,844,0
845,0,0,,845,0,,845,0
846,0,0,,846,0,,846,0
847,0,0,,847,0,,847,0
848,0,0,,848,0,,848,0
849,0,0,,849,0,,849,0
850,0,0,,850,0,,850,0
851,0,0,,851,0,,851,0
852,0,0,,852,0,,852,0
853,0,0,,853,0,,853,0
854,0,0,,854,0,,854,0
855,0,0,,855,0,,855,0
856,0,0,,856,0,,856,0
857,0,0,,857,0,,857,0
858,0,0,,858,0,,858,0
859,0,0,,859,0,,859,0
860,0,0,,860,0,,860,0
861,0,0,,861,0,,861,0
862,0,0,,862,0,,862,0
863,0,0,,863,0,,863,0
864,0,0,,864,0,,864,0
865,0,0,,865,0,,865,0
866,0,0,,866,0,,866,0
867,0,0,,867,0,,867,0
868,0,0,,868,0,,868,0
869,0,0,,869,0,,869,0
870,0,0,,870,0,,870,0
871,0,0,,871,0,,871,0
872,0,0,,872,0,,872,0
873,0,0,,873,0,,873,0
874,0,0,,874,0,,874,0
875,0,0,,875,0,,875,0
876,0,0,,876,0,,876,0
877,0,0,,877,0,,877,0
878,0,0,,878,0,,878,0
879,0,0,,879,0,,879,0
880,0,0,,880,0,,880,0
881,0,0,,881,0,,881,0
882,0,0,,882,0,,882,0
883,0,0,,883,0,,883,0
884,0,0,,884,0,,884,0
885,0,0,,885,0,,885,0
886,0,0,,886,0,,886,0
887,0,0,,887,0,,887,0
888,0,0,,888,0,,888,0
889,0,0,,889,0,,889,0
890,0,0,,890,0,,890,0
891,0,0,,891,0,,891,0
892,0,0,,892,0,,892,0
893,0,0,,893,0,,893,0
894,0,0,,894,0,,894,0
895,0,0,,895,0,,895,0
896,0,0,,896,0,,896,0
897,0,0,,897,0,,897,0
898,0,0,,898,0,,898,0
899,0,0,,899,0,,899,0
900,0,0,,900,0,,900,0
901,0,0,,901,0,,901,0
902,0,0,,902,0,,902,0
903,0,0,,903,0,,903,0
904,0,0,,904,0,,904,0
905,0,0,,905,0,,905,0
906,0,0,,906,0,,906,0
907,0,0,,907,0,,907,0
908,0,0,,908,0,,908,0
909,0,0,,909,0,,909,0
910,0,0,,910,0,,910,0
911,0,0,,911,0,,911,0
912,0,0,,912,0,,912,0
913,0,0,,913,0,,913,0
914,0,0,,914,0,,914,0
915,0,0,,915,0,,915,0
916,0,0,,916,0,,916,0
917,0,0,,917,0,,917,0
918,0,0,,918,0,,918,0
919,0,0,,919,0,,919,0
920,0,0,,920,0,,920,0
921,0,0,,921,0,,921,0
922,0,0,,922,0,,922,0
923,0,0,,923,0,,923,0
924,0,0,,924,0,,924,0
925,0,0,,925,0,,925,0
926,0,0,,926,0,,926,0
927,0,0,,927,0,,927,0
928,0,0,,928,0,,928,0
929,0,0,,929,0,,929,0
930,0,0,,930,0,,930,0
931,0,0,,931,0,,931,0
932,0,0,,932,0,,932,0
933,0,0,,933,0,,933,0
934,0,0,,934,0,,934,0
935,0,0,,935,0,,935,0
936,0,0,,936,0,,936,0
937,0,0,,937,0,,937,0
938,0,0,,938,0,,938,0
939,0,0,,939,0,,939,0
940,0,0,,940,0,,940,0
941,0,0,,941,0,,941,0
942,0,0,,942,0,,942,0
943,0,0,,943,0,,943,0
944,0,0,,944,0,,944,0
945,0,0,,945,0,,945,0
946,0,0,,946,0,,946,0
947,0,0,,947,0,,947,0
948,0,0,,948,0,,948,0
949,0,0,,949,0,,949,0
950,0,0,,950,0,,950,0
951,0,0,,951,0,,951,0
952,0,0,,952,0,,952,0
953,0,0,,953,0,,953,0
954,0,0,,954,0,,954,0
955,0,0,,955,0,,955,0
956,0,0,,956,0,,956,0
957,0,0,,957,0,,957,0
958,0,0,,958,0,,958,0
959,0,0,,959,0,,959,0
960,0,0,,960,0,,960,0
961,0,0,,961,0,,961,0
962,0,0,,962,0,,962,0
963,0,0,,963,0,,963,0
964,0,0,,964,0,,964,0
965,0,0,,965,0,,965,0
966,0,0,,966,0,,966,0
967,0,0,,967,0,,967,0
968,0,0,,968,0,,968,0
969,0,0,,969,0,,969,0
970,0,0,,970,0,,970,0
971,0,0,,971,0,,971,0
972,0,0,,972,0,,972,0
973,0,0,,973,0,,973,0
974,0,0,,974,0,,974,0
975,0,0,,975,0,,975,0
976,0,0,,976,0,,976,0
977,0,0,,977,0,,977,0
978,0,0,,978,0,,978,0
979,0,0,,979,0,,979,0
980,0,0,,980,0,,980,0
981,0,0,,981,0,,981,0
982,0,0,,982,0,,982,0
983,0,0,,983,0,,983,0
984,0,0,,984,0,,984,0
985,0,0,,985,0,,985,0
986,0,0,,986,0,,986,0
987,0,0,,987,0,,987,0
988,0,0,,988,0,,988,0
989,0,0,,989,0,,989,0
990,0,0,,990,0,,990,0
991,0,0,,991,0,,991,0
992,0,0,,992,0,,992,0
993,0,0,,993,0,,993,0
994,0,0,,994,0,,994,0
995,0,0,,995,0,,995,0
996,0,0,,996,0,,996,0
997,0,0,,997,0,,997,0
998,0,0,,998,0,,998,0
999,0,0,,999,0,,999,0
